ID,ALTRB,ALTRB-CTCP,lb,kPlexS,lb
G11,0.23,1.21,89,0.30,88
G12,0.38,1.40,96,1.28,64
G13,2.49,13.68,79,2.28,76
G14,2.31,17.33,123,3.15,122
G15,1.46,10.30,88,3.58,85
G16,2.88,2.91,59,0.89,40
G17,0.58,2.10,74,1.54,67
G18,0.08,0.32,124,0.19,123
G19,0.39,4.84,64,1.25,54
G20,5.22,193.56,50,23.38,40
G21,0.76,2.07,79,0.37,76
G22,1.76,10.29,55,11.67,47
G23,12.77,159.07,41,12.30,40
G24,0.95,4.49,78,0.92,77
G25,2.22,28.73,111,27.09,110
G26,1.03,4.43,910,3.71,910
G27,1.86,11.03,60,11.79,58
G28,1927.49,3620.00,45,3242.24,40
G29,2.24,3.15,343,3.34,343
G30,68.97,196.13,112,176.80,46
